1.73,1.08,0.95,0.82,0.78,0.88,0.79,0.86,0.89,1.20,1.43
1.19,0.94,0.75,0.73,0.74,0.75,0.76,0.81,0.87,0.95,1.19
0.92,0.77,0.68,0.63,0.64,0.64,0.65,0.69,0.74,0.83,1.00
0.67,0.58,0.53,0.54,0.51,0.52,0.55,0.55,0.61,0.70,0.84
0.61,0.52,0.47,0.49,0.46,0.52,0.49,0.52,0.56,0.60,0.76
0.77,0.60,0.56,0.51,0.50,0.55,0.53,0.58,0.52,0.63,0.78
0.85,0.74,0.61,0.62,0.57,0.61,0.50,0.60,0.67,0.71,0.80
0.97,0.92,0.77,0.63,0.60,0.52,0.64,0.75,0.75,0.78,0.73
1.26,1.02,0.94,0.77,0.65,0.71,0.82,0.82,0.73,0.62,0.62
1.43,1.14,1.00,0.92,0.87,0.86,1.00,0.85,0.66,0.60,0.67
2.02,1.43,1.08,0.96,0.98,1.02,0.99,0.72,0.66,0.74,0.99
